商品名称,苏宁商品编码,天猫商品编码,店铺编码,苏宁供应商编码,苏宁供应商名称,天猫供应商编码,天猫供应商名称,品类,品牌,一级类目,二级类目,三级类目,四级类目,访客数,浏览量,搜索商品引导访客数,加购件数,收藏人数,支付金额,支付商品件数,支付买家数,搜索引导支付买家数,客单价,访客平均价值,支付转化率,下单转化率,平均停留时长,详情页跳出率,下单支付转化率,搜索支付转化率,退款金额,退款占比
适用lebooo华为智选力博得电动牙刷头优漾星钻Hilink星芒替换1383,="12413829211",="724913632503",="store001",="10343504",(美妆)深圳希臻实业有限公司,="2214740131874",xizhen供应商,美妆,fivemore,美妆,美妆工具,面部工具,手动剃须刀,271,695,177,84,6,1439.20,110,81,59,17.77,5.31,29.89%,30.63%,27.47,74.91%,97.59%,33.33%,322.00,22.37%
适配小米电动牙刷头MES601/602米家T300/T500/T100T302替换头1383,="12422021760",="743653117925",="store001",="10343504",(美妆)深圳希臻实业有限公司,="2214740131874",xizhen供应商,美妆,fivemore,美妆,美妆工具,面部工具,手动剃须刀,94,253,69,37,0,949.30,28,28,14,33.90,10.10,29.79%,29.79%,24.78,69.15%,100.00%,20.29%,210.80,22.21%
【苏宁臻品】适配拜尔电动牙刷头A9适用净白敏感拜耳替换头1383,="12432353725",="794362587127",="store001",="10343504",(美妆)深圳希臻实业有限公司,="2214740131874",xizhen供应商,美妆,fivemore,美妆,美妆工具,面部工具,手动剃须刀,105,219,65,56,2,638.50,53,31,20,20.60,6.08,29.52%,29.52%,15.45,77.14%,100.00%,30.77%,277.60,43.48%
适配飞利浦电动牙刷头HX247M/247C/247L/2461B/2023/242W替换1383,="12424872910",="754227869073",="store001",="10343504",(美妆)深圳希臻实业有限公司,="2214740131874",xizhen供应商,美妆,fivemore,美妆,美妆工具,面部工具,手动剃须刀,22,37,5,11,0,570.40,16,14,2,40.74,25.93,63.64%,63.64%,20.32,54.55%,100.00%,40.00%,28.90,5.07%
适配Oralb欧乐B电动牙刷头欧乐比pro3/4/P4000通用替换头博朗1383,="12410992112",="719184867107",="store001",="10343504",(美妆)深圳希臻实业有限公司,="2214740131874",xizhen供应商,美妆,fivemore,美妆,美妆工具,面部工具,手动剃须刀,96,211,64,27,1,473.70,21,19,12,24.93,4.93,19.79%,19.79%,19.80,67.71%,100.00%,18.75%,55.80,11.78%
适配sonicare飞利浦hx2432电动牙刷头儿童4到12岁泡泡刷替换1383,="12433727250",="907297262390",="store001",="10343504",(美妆)深圳希臻实业有限公司,="2214740131874",xizhen供应商,美妆,fivemore,美妆,美妆工具,面部工具,手动剃须刀,40,79,32,19,0,397.80,12,12,9,33.15,9.95,30.00%,30.00%,19.18,77.50%,100.00%,28.13%,57.80,14.53%
【苏宁正品】适配米家小米T200/T200C电动牙刷头MES606替换头1383,="12433727255",="808730931752",="store001",="10343504",(美妆)深圳希臻实业有限公司,="2214740131874",xizhen供应商,美妆,fivemore,美妆,美妆工具,面部工具,手动剃须刀,107,247,61,27,0,374.60,30,28,13,13.38,3.50,26.17%,27.10%,23.62,72.90%,96.55%,21.31%,64.70,17.27%
适用洁碧waterpik冲牙器水牙线标准正畸喷头牙菌斑替换喷嘴1383,="12415665199",="728749312299",="store001",="10343504",(美妆)深圳希臻实业有限公司,="2214740131874",xizhen供应商,美妆,fivemore,美妆,美妆工具,面部工具,手动剃须刀,44,104,24,10,0,332.00,10,4,2,83.00,7.55,9.09%,9.09%,14.52,70.45%,100.00%,8.33%,0.00,0.00%
适配美的电动牙刷头S1P/S5/M1/M2/MCAJ0101/02030405/SS替换1383,="12414698073",="727599195740",="store001",="10343504",(美妆)深圳希臻实业有限公司,="2214740131874",xizhen供应商,美妆,fivemore,美妆,美妆工具,面部工具,手动剃须刀,108,318,55,27,0,320.70,36,33,15,9.72,2.97,30.56%,31.48%,13.46,61.11%,97.06%,27.27%,24.60,7.67%
适配Oralb欧乐B电动牙刷头p4000/p3000/d100/Pro1/2/34替换头1383,="12410992068",="719184631914",="store001",="10343504",(美妆)深圳希臻实业有限公司,="2214740131874",xizhen供应商,美妆,fivemore,美妆,美妆工具,面部工具,手动剃须刀,43,104,26,17,0,289.40,16,14,12,20.67,6.73,32.56%,32.56%,15.56,67.44%,100.00%,46.15%,0.00,0.00%
